,Município Acidente,Ano,Mês,Sexo,Turno Acidente,Tipo de Acidente,Meio de Locomoção da Vítima,Faixa Etária,Latitude Acidente,Longitude Acidente
80,Assis,2016,12,Masculino,Madrugada,Colisão,Automóvel,50-54,-22.6973532833,-50.5137795172
81,Assis,2017,1,Masculino,Não Disponível,Outros,Automóvel,60-64,-22.667334,-50.408913
82,Assis,2017,1,Masculino,Noite,Colisão,Bicicleta,65-69,-22.674715,-50.426909
83,Assis,2017,2,Masculino,Noite,Colisao,Motocicleta,55-59,-22.679711,-50.435395
84,Atibaia,2016,12,Masculino,Tarde,Atropelamento,Pedestre,65-69,-23.1597562936,-46.5735944964
85,Atibaia,2017,1,Feminino,Manhã,Atropelamento,Pedestre,0-17,-23.220667,-46.594557
86,Atibaia,2017,1,Masculino,Tarde,Atropelamento,Pedestre,25-29,-23.0363195618,-46.5525240999
87,Atibaia,2017,1,Masculino,Tarde,Outros,Motocicleta,30-34,-23.06744816,-46.6438777706
88,Atibaia,2017,1,Masculino,Madrugada,Colisão,Motocicleta,Não Disponível,-23.2336858171,-46.6021002328
89,Atibaia,2017,2,Masculino,Noite,Outros,Automovel,0-17,-23.171718,-46.623692
90,Atibaia,2017,2,Masculino,Manhã,Choque,Motocicleta,25-29,-23.1020816585,-46.5685501276
91,Atibaia,2017,2,Masculino,Manhã,Nao Disponivel,Motocicleta,30-34,-21.5090965645,-50.2763459594
92,Atibaia,2017,2,Masculino,Tarde,Colisao,Motocicleta,40-44,-23.0781345953,-46.5693021698
93,Atibaia,2017,3,Masculino,Tarde,Colisao,Motocicleta,25-29,-23.14053,-46.581145
94,Avanhandava,2016,12,Masculino,Noite,Atropelamento,Pedestre,55-59,-21.469854,-49.94022
95,Avanhandava,2017,3,Masculino,Madrugada,Nao Disponivel,Motocicleta,18-24,NAO DISPONIVEL,NAO DISPONIVEL 
96,Avare,2016,12,Feminino,Madrugada,Colisão,Automóvel,18-24,-23.0397627416,-48.8789996099
97,Avare,2016,12,Masculino,Madrugada,Colisão,Automóvel,18-24,-23.0397627416,-48.8789996099
98,Avare,2016,12,Masculino,Noite,Colisão,Motocicleta,50-54,-23.337138283,-46.836433411
99,Avare,2017,3,Feminino,Noite,Colisao,Motocicleta,30-34,-23.115723008,-48.940260318
100,Bariri,2017,1,Feminino,Noite,Colisão,Automóvel,25-29,-22.1310595577,-48.7395509831
101,Barra Bonita,2017,3,Masculino,Manha,Colisao,Automovel,40-44,-22.450357,-48.521734
102,Barra Do Chapeu,2016,12,Masculino,Tarde,Atropelamento,Pedestre,0-17,-24.470237,-49.024556
103,Barra Do Chapeu,2016,12,Feminino,Tarde,Atropelamento,Pedestre,65-69,-24.470237,-49.024556
104,Barra Do Turvo,2016,12,Masculino,Noite,Colisão,Onibus,55-59,-24.932829265,-48.2828524794
105,Barra Do Turvo,2017,3,Masculino,Nao Disponivel,Outros,Outros,30-34,-24.9608284755,-48.4156349996
106,Barretos,2016,12,Feminino,Tarde,Colisão,Motocicleta,0-17,-20.548553,-48.577003
107,Barretos,2016,12,Masculino,Não Disponível,Não Especificado,Automóvel,60-64,-20.4997665035,-48.5387048209
108,Barretos,2017,1,Feminino,Manhã,Colisão,Motocicleta,30-34,-20.556186,-48.569661
109,Barretos,2017,2,Masculino,Noite,Colisao,Automovel,40-44,-20.6538562553,-48.549977379
110,Barueri,2016,12,Masculino,Tarde,Colisão,Motocicleta,30-34,-23.508363489,-46.8265182693
111,Barueri,2016,12,Masculino,Madrugada,Outros,Motocicleta,45-49,-23.511635,-46.853703
112,Barueri,2016,12,Masculino,Tarde,Atropelamento,Pedestre,65-69,-23.512864,-46.871068
113,Barueri,2017,1,Masculino,Tarde,Choque,Motocicleta,30-34,Não Disponível,Não Disponível 
114,Barueri,2017,1,Masculino,Tarde,Colisão,Motocicleta,35-39,-23.5095012505,-46.8181609415
115,Barueri,2017,2,Masculino,Tarde,Colisao,Motocicleta,40-44,-23.4962641034,-46.83613134
116,Barueri,2017,2,Masculino,Tarde,Nao Disponivel,Motocicleta,40-44,-23.52344,-46.873991
117,Barueri,2017,2,Masculino,Manhã,Nao Disponivel,Nao Disponivel,45-49,-23.510238716,-46.910990997
118,Barueri,2017,2,Masculino,Tarde,Nao Disponivel,Motocicleta,60-64,Não Disponível,Não Disponível
119,Barueri,2017,3,Masculino,Manha,Atropelamento,Pedestre,50-54,-23.5039939349,-46.8778957169
120,Barueri,2017,3,Feminino,Tarde,Atropelamento,Pedestre,60-64,-23.502488,-46.878533
121,Barueri,2017,3,Masculino,Manha,Choque,Automovel,70-74,-23.490785,-46.95453
122,Barueri,2017,3,Masculino,Noite,Atropelamento,Pedestre,Nao Disponivel,-23.510317,-46.835604
123,Bastos,2017,1,Masculino,Noite,Atropelamento,Pedestre,25-29,-21.9113896948,-50.710272949
124,Bastos,2017,2,Masculino,Noite,Choque,Motocicleta,45-49,-21.940893,-50.645163
125,Batatais,2017,1,Masculino,Tarde,Colisão,Automóvel,50-54,-20.837334915,-47.6015241875
126,Bauru,2016,12,Masculino,Noite,Outros,Motocicleta,0-17,-22.3383359321,-49.2930287561
127,Bauru,2016,12,Masculino,Manhã,Choque,Motocicleta,18-24,-22.3479285888,-49.0281914083
128,Bauru,2016,12,Masculino,Madrugada,Colisão,Automóvel,40-44,-22.3230495958,-49.0523242608
129,Bauru,2016,12,Masculino,Noite,Colisão,Bicicleta,50-54,-22.281685,-49.059717
130,Bauru,2016,12,Feminino,Noite,Atropelamento,Pedestre,70-74,-22.332791,-49.086527
131,Bauru,2017,1,Masculino,Tarde,Colisão,Motocicleta,18-24,-22.305738,-49.052239
132,Bauru,2017,1,Masculino,Madrugada,Choque,Motocicleta,30-34,-22.312283,-49.069696
133,Bauru,2017,1,Masculino,Não Disponível,Choque,Motocicleta,40-44,-22.2866372648,-49.0940972092
134,Bauru,2017,1,Masculino,Madrugada,Atropelamento,Pedestre,Não Disponível,-22.35965,-49.03834
135,Bauru,2017,2,Masculino,Tarde,Atropelamento,Pedestre,0-17,-22.281862,-49.062675
136,Bauru,2017,2,Feminino,Madrugada,Choque,Automovel,18-24,-22.320129277,-49.003695779
137,Bauru,2017,2,Feminino,Madrugada,Outros,Motocicleta,25-29,-22.2999095352,-49.0655365748
138,Bauru,2017,2,Masculino,Noite,Colisao,Motocicleta,30-34,-22.31952,-48.98145
139,Bauru,2017,3,Masculino,Tarde,Colisao,Motocicleta,25-29,-22.2970368036,-49.1093436358
140,Bebedouro,2016,12,Masculino,Tarde,Colisão,Motocicleta,25-29,-20.9635314147,-48.4650114946
141,Bebedouro,2016,12,Masculino,Manhã,Colisão,Motocicleta,45-49,-20.951123764,-48.4990166449
142,Bebedouro,2016,12,Masculino,Manhã,Choque,Automóvel,55-59,-20.958905,-48.486863
143,Bebedouro,2017,1,Masculino,Noite,Choque,Motocicleta,30-34,-20.932579,-48.499755
144,Bertioga,2016,12,Masculino,Manhã,Atropelamento,Pedestre,18-24,-23.7585360456,-45.8715720096
145,Bertioga,2017,1,Masculino,Não Disponível,Colisão,Automóvel,18-24,-23.7565828743,-45.8522038035
146,Bertioga,2017,1,Masculino,Noite,Não Disponível,Não Disponível,30-34,-23.7483948537,-46.0463361451
147,Bertioga,2017,2,Masculino,Madrugada,Atropelamento,Pedestre,35-39,Não Disponível,Não Disponível
148,Bertioga,2017,2,Masculino,Manhã,Atropelamento,Pedestre,50-54,-23.822982,-46.125309
149,Bertioga,2017,2,Masculino,Não Disponível,Colisao,Bicicleta,Não Disponível,-23.7757555647,-45.9778075819
150,Bertioga,2017,3,Masculino,Nao Disponivel,Nao Disponivel,Nao Disponivel,18-24,NAO DISPONIVEL,NAO DISPONIVEL 
151,Bertioga,2017,3,Masculino,Tarde,Nao Disponivel,Nao Disponivel,18-24,NAO DISPONIVEL,NAO DISPONIVEL 
152,Bertioga,2017,3,Feminino,Manha,Outros,Automovel,40-44,-23.79439,-46.050918
153,Bertioga,2017,3,Masculino,Manha,Outros,Caminhao,40-44,-23.7776885368,-45.9682963839
154,Bertioga,2017,3,Masculino,Tarde,Colisao,Motocicleta,55-59,-23.7827880283,-46.0577294631
155,Birigui,2016,12,Masculino,Madrugada,Choque,Motocicleta,30-34,-21.265764,-50.327105
156,Birigui,2016,12,Feminino,Tarde,Colisão,Motocicleta,50-54,-21.251856,-50.314779
157,Birigui,2016,12,Feminino,Manhã,Atropelamento,Pedestre,65-69,-21.296611,-50.323037
158,Birigui,2017,1,Masculino,Tarde,Atropelamento,Pedestre,0-17,Não Disponível,Não Disponível 
159,Birigui,2017,2,Masculino,Noite,Atropelamento,Motocicleta,35-39,-21.2571628064,-50.3296948009
160,Birigui,2017,2,Masculino,Madrugada,Atropelamento,Automovel,40-44,-21.2862506609,-50.3579173183
161,Birigui,2017,2,Masculino,Manhã,Atropelamento,Pedestre,50-54,-21.287074,-50.351197
162,Birigui,2017,2,Masculino,Noite,Outros,Bicicleta,50-54,-21.269563,-50.332168
163,Biritiba Mirim,2016,12,Masculino,Noite,Atropelamento,Pedestre,65-69,-23.56632807,-46.0235001789
164,Biritiba Mirim,2017,2,Masculino,Tarde,Atropelamento,Pedestre,60-64,-23.7093326764,-46.0618152314
165,Biritiba Mirim,2017,3,Masculino,Madrugada,Colisao,Bicicleta,18-24,-23.576771,-46.038501
166,Bocaina,2016,12,Masculino,Manhã,Outros,Motocicleta,18-24,-22.15558,-48.542962
167,Bocaina,2016,12,Feminino,Noite,Colisão,Automóvel,35-39,-22.0918145084,-48.4495466659
168,Boituva,2017,1,Masculino,Manhã,Outros,Bicicleta,60-64,-23.284485,-47.674137
169,Bom Jesus Dos Perdoes,2017,1,Masculino,Manhã,Atropelamento,Pedestre,60-64,-23.144954,-46.467789
170,Bom Jesus Dos Perdoes,2017,3,Masculino,Noite,Colisao,Automovel,35-39,-23.1252081831,-46.4692255511
171,Bom Jesus Dos Perdoes,2017,3,Masculino,Noite,Colisao,Automovel,40-44,-23.1252081831,-46.4692255511
172,Borborema,2016,12,Feminino,Tarde,Colisão,Automóvel,60-64,-21.6094177165,-49.140738027
173,Borborema,2016,12,Masculino,Noite,Não Especificado,Não Especificado,60-64,-21.6094177165,-49.140738027
174,Borborema,2017,1,Masculino,Tarde,Colisão,Bicicleta,0-17,-21.6265672678,-49.0842047144
175,Botucatu,2016,12,Masculino,Manhã,Colisão,Motocicleta,30-34,-22.940214,-48.441162
176,Botucatu,2016,12,Masculino,Tarde,Não Especificado,Não Especificado,30-34,-23.1443960187,-48.412679045
177,Botucatu,2016,12,Masculino,Noite,Colisão,Automóvel,60-64,-22.87276,-48.433216
178,Botucatu,2017,1,Masculino,Madrugada,Colisão,Motocicleta,35-39,-23.047476102,-48.477079807
179,Braganca Paulista,2016,12,Masculino,Madrugada,Colisão,Caminhão,40-44,-22.9483288807,-46.4784557476
180,Braganca Paulista,2016,12,Feminino,Não Disponível,Não Especificado,Não Especificado,55-59,Não Disponível,Não Disponível 
181,Braganca Paulista,2017,1,Masculino,Manhã,Choque,Motocicleta,18-24,-22.8661534724,-46.625435047
182,Braganca Paulista,2017,3,Masculino,Noite,Atropelamento,Pedestre,30-34,-22.9347271654,-46.5564403706
183,Brauna,2017,2,Feminino,Manhã,Choque,Automovel,18-24,-21.5090965645,-50.2763459594
184,Brotas,2017,2,Masculino,Noite,Colisao,Automovel,60-64,-22.274357,-48.12003
185,Brotas,2017,2,Masculino,Tarde,Choque,Automovel,65-69,-22.3368371928,-48.1100852158
186,Buri,2016,12,Masculino,Noite,Colisão,Automóvel,0-17,-23.770381,-48.630878
187,Buritama,2017,1,Masculino,Noite,Não Disponível,Bicicleta,55-59,-21.051167317,-50.174362511
188,Buritizal,2017,3,Masculino,Manha,Colisao,Motocicleta,25-29,-20.205248,-47.741209
