,Município Acidente,Ano,Mês,Sexo,Turno Acidente,Tipo de Acidente,Meio de Locomoção da Vítima,Faixa Etária,Latitude Acidente,Longitude Acidente
189,Cabreuva,2016,12,Masculino,Noite,Atropelamento,Pedestre,70-74,-23.306303,-47.131157
190,Cabreuva,2017,3,Masculino,Noite,Atropelamento,Pedestre,45-49,-23.284374143,-47.128296725
191,Cacapava,2016,12,Feminino,Tarde,Outros,Motocicleta,18-24,-23.1088016402,-45.7008709638
192,Cacapava,2016,12,Masculino,Madrugada,Colisão,Automóvel,45-49,-23.081884082,-45.6613419512
193,Cacapava,2016,12,Masculino,Tarde,Colisão,Automóvel,55-59,-23.1692325211,-45.7079752167
194,Cacapava,2016,12,Feminino,Tarde,Colisão,Automóvel,60-64,-23.1692325211,-45.7079752167
195,Cacapava,2016,12,Feminino,Tarde,Atropelamento,Pedestre,65-69,-23.100173,-45.698352
196,Cacapava,2016,12,Masculino,Tarde,Colisão,Automóvel,70-74,-23.1692325211,-45.7079752167
197,Cacapava,2017,1,Masculino,Noite,Não Disponível,Motocicleta,18-24,-23.095292,-45.702276
198,Cacapava,2017,1,Masculino,Noite,Atropelamento,Pedestre,40-44,-23.1088016402,-45.7008709638
199,Cacapava,2017,1,Masculino,Manhã,Choque,Não Disponível,45-49,-23.0950044371,-45.68073401
200,Cacapava,2017,2,Masculino,Madrugada,Atropelamento,Pedestre,Não Disponível,-23.1062205003,-45.6970974134
201,Cachoeira Paulista,2016,12,Masculino,Tarde,Colisão,Motocicleta,18-24,-22.6500091712,-44.9587549649
202,Cachoeira Paulista,2017,3,Masculino,Noite,Atropelamento,Pedestre,30-34,-22.671473,-45.024336
203,Caieiras,2016,12,Masculino,Madrugada,Colisão,Caminhão,18-24,-23.3780834863,-46.7724285914
204,Caieiras,2016,12,Masculino,Madrugada,Colisão,Caminhão,25-29,-23.3780834863,-46.7724285914
205,Caieiras,2017,1,Feminino,Noite,Outros,Automóvel,30-34,-23.348933,-46.743502
206,Caieiras,2017,1,Feminino,Manhã,Atropelamento,Pedestre,35-39,-23.3594424621,-46.7486972476
207,Caieiras,2017,1,Feminino,Noite,Outros,Automóvel,45-49,-23.348933,-46.743502
208,Caieiras,2017,2,Masculino,Manhã,Colisao,Motocicleta,25-29,-23.35109961,-46.799691982
209,Caieiras,2017,2,Masculino,Tarde,Choque,Automovel,40-44,-23.379124,-46.709407
210,Caieiras,2017,2,Masculino,Manhã,Outros,Pedestre,55-59,-23.353292,-46.794812
211,Caieiras,2017,3,Masculino,Noite,Atropelamento,Pedestre,50-54,-23.3669817925,-46.7520660225
212,Caiua,2017,1,Feminino,Noite,Colisão,Automóvel,25-29,-21.84679858,-52.024815197
213,Cajamar,2016,12,Masculino,Madrugada,Choque,Automóvel,30-34,-23.2980764731,-46.8614430489
214,Cajamar,2016,12,Masculino,Noite,Colisão,Automóvel,60-64,-23.3272169978,-46.8244653192
215,Cajamar,2017,3,Masculino,Noite,Colisao,Motocicleta,18-24,-23.344925356,-46.840928793
216,Cajamar,2017,3,Masculino,Madrugada,Colisao,Caminhao,40-44,-23.3372982204,-46.8239281328
217,Cajamar,2017,3,Masculino,Manha,Choque,Automovel,45-49,-23.288188967,-46.847215891
218,Cajati,2016,12,Masculino,Manhã,Choque,Não Especificado,Não Disponível,-24.8582418678,-48.211381656
219,Cajati,2016,12,Masculino,Não Disponível,Não Especificado,Bicicleta,Não Disponível,-24.730004785,-48.107580829
220,Cajati,2017,2,Masculino,Noite,Choque,Motocicleta,18-24,-24.723514,-48.145189
221,Cajati,2017,2,Masculino,Manhã,Nao Disponivel,Nao Disponivel,40-44,Não Disponível,Não Disponível
222,Cajati,2017,2,Masculino,Noite,Atropelamento,Pedestre,50-54,-24.738105,-48.122328
223,Cajati,2017,3,Masculino,Madrugada,Choque,Pedestre,35-39,-24.8937617489,-48.2360149506
224,Cajati,2017,3,Masculino,Madrugada,Nao Disponivel,Nao Disponivel,45-49,-24.8891566137,-48.228731257
225,Cajati,2017,3,Masculino,Madrugada,Choque,Caminhao,55-59,-24.8405391573,-48.2132162069
226,Cajuru,2016,12,Masculino,Madrugada,Outros,Não Especificado,60-64,-21.273054701,-47.290552575
227,Cajuru,2017,1,Masculino,Tarde,Outros,Automóvel,65-69,-21.2747423475,-47.2898649485
228,Campinas,2016,12,Feminino,Madrugada,Colisão,Automóvel,18-24,-22.7808207053,-47.0253990039
229,Campinas,2016,12,Masculino,Manhã,Colisão,Motocicleta,18-24,-22.906010734,-47.1060250468
230,Campinas,2016,12,Masculino,Tarde,Colisão,Motocicleta,18-24,-23.038594,-47.128018
231,Campinas,2016,12,Masculino,Noite,Colisão,Automóvel,25-29,-22.9035265752,-47.008458319
232,Campinas,2016,12,Masculino,Tarde,Não Especificado,Motocicleta,25-29,-22.849335,-47.126394
233,Campinas,2016,12,Masculino,Madrugada,Atropelamento,Pedestre,30-34,-22.871167,-47.155991
