;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaratingueta; Guaratingueta ;2016; 11 ; MASCULINO ; NOITE ; COLISÃO ; CAMINHÃO ; 25-29 ; -22.7966160293632 ; -45.1669967808107 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 11 ; FEMININO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 0-17 ; -23.962691 ; -46.284811 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 11 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 25-29 ; -23.962691 ; -46.284811 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 11 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 40-44 ; -23.981656 ; -46.229589 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 11 ; MASCULINO ; TARDE ; OUTROS ; MOTOCICLETA ; 35-39 ; -23.864148 ; -46.146514 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaruja; Guaruja ;2016; 11 ; NÃO DISPONÍVEL ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; Não Disponível ; -23.962691 ; -46.284811 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 11 ; FEMININO ; TARDE ; CHOQUE ; AUTOMÓVEL ; 55-59 ; -23.456863 ; -46.562341 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 11 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.4474006792502 ; -46.454890254442 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 11 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -23.4694079169996 ; -46.4056427199018 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 11 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 25-29 ; -23.4721667375119 ; -46.5193525961654 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 11 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 0-17 ; -23.459177 ; -46.521564 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 11 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -23.4398577553468 ; -46.4369475062945 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 11 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMÓVEL ; 70-74 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 11 ; MASCULINO ; NOITE ; COLISÃO ; BICICLETA ; 18-24 ; -23.459191 ; -46.521583 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarulhos; Guarulhos ;2016; 11 ; MASCULINO ; NOITE ; Não Disponível ; Não Disponível ; 18-24 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hortolandia; Hortolandia ;2016; 11 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; -22.896805 ; -47.174784 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hortolandia; Hortolandia ;2016; 11 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 25-29 ; -22.9026353010458 ; -47.2264503949016 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hortolandia; Hortolandia ;2016; 11 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -22.856457 ; -47.222919 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ibate; Ibate ;2016; 11 ; MASCULINO ; Não Disponível ; COLISÃO ; BICICLETA ; 80 ou mais ; -21.952263 ; -47.993716 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
