;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Munic¡pio Acidente ;Ano;Mˆs;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomo‡Æo da V¡tima;Faixa Et ria;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIRACICABA; PIRACICABA ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 18-24 ; -22.6748266593506 ; -47.7420547382524 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIRACICABA; PIRACICABA ;2017; 2 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMOVEL ; 25-29 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIRACICABA; PIRACICABA ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMOVEL ; 25-29 ; -22.7436008735225 ; -47.7180354119184 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIRACICABA; PIRACICABA ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 0-17 ; -22.749213 ; -47.685167 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIRACICABA; PIRACICABA ;2017; 2 ; MASCULINO ; TARDE ; OUTROS ; AUTOMOVEL ; 45-49 ; -22.758645 ; -47.947705 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PITANGUEIRAS; PITANGUEIRAS ;2017; 2 ; FEMININO ; NOITE ; OUTROS ; AUTOMOVEL ; 18-24 ; -20.9805434721965 ; -48.2772934038153 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PITANGUEIRAS; PITANGUEIRAS ;2017; 2 ; FEMININO ; NOITE ; OUTROS ; AUTOMOVEL ; 18-24 ; -20.9805434721965 ; -48.2772934038153 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PITANGUEIRAS; PITANGUEIRAS ;2017; 2 ; FEMININO ; NOITE ; OUTROS ; AUTOMOVEL ; 18-24 ; -20.9805434721965 ; -48.2772934038153 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POA; POA ;2017; 2 ; FEMININO ; MADRUGADA ; CHOQUE ; AUTOMOVEL ; 50-54 ; -23.51092 ; -46.337689 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POA; POA ;2017; 2 ; FEMININO ; MADRUGADA ; CHOQUE ; AUTOMOVEL ; NÆo Dispon¡vel ; -23.51092 ; -46.337689 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORANGABA; PORANGABA ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; CAMINHAO ; 45-49 ; -23.2364336809999 ; -48.130406068 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PORTO FERREIRA; PORTO FERREIRA ;2017; 2 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -21.8601964599999 ; -47.472073268 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRAIA GRANDE; PRAIA GRANDE ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; OUTROS ; BICICLETA ; 50-54 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRAIA GRANDE; PRAIA GRANDE ;2017; 2 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMOVEL ; 25-29 ; -24.032543 ; -46.50768 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRAIA GRANDE; PRAIA GRANDE ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 35-39 ; -24.018448627 ; -46.471646917 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRAIA GRANDE; PRAIA GRANDE ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; AUTOMOVEL ; 60-64 ; -24.045506 ; -46.530207 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRAIA GRANDE; PRAIA GRANDE ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 45-49 ; -24.03475015 ; -46.5285810816451 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRESIDENTE PRUDENTE; PRESIDENTE PRUDENTE ;2017; 2 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -22.130812 ; -51.386227 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAFARD; RAFARD ;2017; 2 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMOVEL ; 25-29 ; -23.039898 ; -47.532744 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RANCHARIA; RANCHARIA ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 40-44 ; -22.2192401906771 ; -50.9131878961447 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIBEIRAO PIRES; RIBEIRAO PIRES ;2017; 2 ; FEMININO ; NOITE ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.690341 ; -46.392869 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIBEIRAO PIRES; RIBEIRAO PIRES ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -22.7006309527773 ; -47.1474380208228 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIBEIRAO PIRES; RIBEIRAO PIRES ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -23.6984612266127 ; -46.4021539900019 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIBEIRAO PIRES; RIBEIRAO PIRES ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.690341 ; -46.392869 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIBEIRAO PRETO; RIBEIRAO PRETO ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; BICICLETA ; 65-69 ; -21.1688557548695 ; -47.8031846329275 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIBEIRAO PRETO; RIBEIRAO PRETO ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; MOTOCICLETA ; 18-24 ; -21.1727855939999 ; -47.794332415 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIBEIRAO PRETO; RIBEIRAO PRETO ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 25-29 ; -21.1773795944435 ; -47.8440570338634 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIBEIRAO PRETO; RIBEIRAO PRETO ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 18-24 ; -21.141116 ; -47.795817 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIBEIRAO PRETO; RIBEIRAO PRETO ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 25-29 ; -21.1933325636666 ; -47.7543739903333 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIBEIRAO PRETO; RIBEIRAO PRETO ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 35-39 ; -21.1158320833444 ; -47.825553905464 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIBEIRAO PRETO; RIBEIRAO PRETO ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 65-69 ; -21.2217347429977 ; -47.782056220794 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RINCAO; RINCAO ;2017; 2 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 0-17 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIO CLARO; RIO CLARO ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; NAO DISPONIVEL ; 70-74 ; -22.394759 ; -47.572523 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIO CLARO; RIO CLARO ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; MOTOCICLETA ; 30-34 ; -22.356389662 ; -47.545413163 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIO CLARO; RIO CLARO ;2017; 2 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 40-44 ; -22.287900 ; -47.548917 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SALTO; SALTO ;2017; 2 ; FEMININO ; NOITE ; COLISAO ; MOTOCICLETA ; 35-39 ; -23.1639613080096 ; -47.2651799267124 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SALTO GRANDE; SALTO GRANDE ;2017; 2 ; MASCULINO ; TARDE ; OUTROS ; AUTOMOVEL ; 18-24 ; -22.8739996039999 ; -49.971905362 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Santa Barbara d'Oeste ;2017; 2 ; FEMININO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 18-24 ; -22.741869 ; -47.359403 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTA CRUZ DO RIO PARDO; SANTA CRUZ DO RIO PARDO ;2017; 2 ; MASCULINO ; MADRUGADA ; OUTROS ; OUTROS ; 80 ou mais ; -22.9529988764326 ; -49.6267471587535 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTA FE DO SUL; SANTA FE DO SUL ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 30-34 ; -20.211026 ; -50.932282 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTA GERTRUDES; SANTA GERTRUDES ;2017; 2 ; MASCULINO ; TARDE ; OUTROS ; BICICLETA ; 30-34 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTA ISABEL; SANTA ISABEL ;2017; 2 ; FEMININO ; NOITE ; CHOQUE ; AUTOMOVEL ; 0-17 ; -23.299292 ; -46.238790 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTA ISABEL; SANTA ISABEL ;2017; 2 ; MASCULINO ; MANHÇ ; CHOQUE ; MOTOCICLETA ; 40-44 ; -23.324350 ; -46.222507 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTA MARIA DA SERRA; SANTA MARIA DA SERRA ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; AUTOMOVEL ; 55-59 ; -22.6005984571726 ; -48.1625472231941 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTA RITA DO PASSA QUATRO; SANTA RITA DO PASSA QUATRO ;2017; 2 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 18-24 ; -21.696478 ; -47.485066 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; SANTA RITA DO PASSA QUATRO ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; CAMINHAO ; 18-24 ; -21.7558603099999 ; -47.563843052 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTO ANDRE; SANTO ANDRE ;2017; 2 ; FEMININO ; NOITE ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.6278435401111 ; -46.5196529845555 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTO ANDRE; SANTO ANDRE ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -23.656452 ; -46.499110 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTO ANDRE; SANTO ANDRE ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 40-44 ; -23.660732 ; -46.544734 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTO ANDRE; SANTO ANDRE ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; MOTOCICLETA ; 25-29 ; -23.703505 ; -46.503507 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SANTOS; SANTOS ;2017; 2 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 25-29 ; -23.929472 ; -46.341938 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO BERNARDO DO CAMPO; SAO BERNARDO DO CAMPO ;2017; 2 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -23.785619 ; -46.531855 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO BERNARDO DO CAMPO; SAO BERNARDO DO CAMPO ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -23.759982 ; -46.606264 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO BERNARDO DO CAMPO; SAO BERNARDO DO CAMPO ;2017; 2 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMOVEL ; 18-24 ; -23.745637 ; -46.5628 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; SAO BERNARDO DO CAMPO ;2017; 2 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 30-34 ; -23.803128914 ; -46.5895086859999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO BERNARDO DO CAMPO; SAO BERNARDO DO CAMPO ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -23.7348254366444 ; -46.5848073983127 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO BERNARDO DO CAMPO; SAO BERNARDO DO CAMPO ;2017; 2 ; MASCULINO ; MANHÇ ; CHOQUE ; AUTOMOVEL ; 18-24 ; -23.7113528668763 ; -46.5641121034676 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; SAO BERNARDO DO CAMPO ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMOVEL ; 35-39 ; -23.8206523030237 ; -46.507405716569 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO JOAO DA BOA VISTA; SAO JOAO DA BOA VISTA ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -21.9844982490196 ; -46.7864082268823 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO JOAO DA BOA VISTA; SAO JOAO DA BOA VISTA ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; NAO DISPONIVEL ; NAO DISPONIVEL ; 18-24 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; SAO JOSE DO RIO PARDO ;2017; 2 ; FEMININO ; MANHÇ ; COLISAO ; AUTOMOVEL ; 25-29 ; -21.5996629932087 ; -46.9377213146073 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO JOSE DO RIO PRETO; SAO JOSE DO RIO PRETO ;2017; 2 ; FEMININO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 25-29 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO JOSE DO RIO PRETO; SAO JOSE DO RIO PRETO ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO JOSE DO RIO PRETO; SAO JOSE DO RIO PRETO ;2017; 2 ; MASCULINO ; MADRUGADA ; NAO DISPONIVEL ; NAO DISPONIVEL ; 30-34 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO JOSE DO RIO PRETO; SAO JOSE DO RIO PRETO ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 40-44 ; -20.785929 ; -49.373376 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO JOSE DO RIO PRETO; SAO JOSE DO RIO PRETO ;2017; 2 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 18-24 ; -20.7861107779935 ; -49.3854945652275 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO JOSE DO RIO PRETO; SAO JOSE DO RIO PRETO ;2017; 2 ; MASCULINO ; TARDE ; OUTROS ; AUTOMOVEL ; 18-24 ; -20.794695 ; -49.355236 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO JOSE DO RIO PRETO; SAO JOSE DO RIO PRETO ;2017; 2 ; MASCULINO ; TARDE ; OUTROS ; MOTOCICLETA ; 25-29 ; -20.789161 ; -49.389833 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO JOSE DOS CAMPOS; SAO JOSE DOS CAMPOS ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.174901 ; -45.830739 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO JOSE DOS CAMPOS; SAO JOSE DOS CAMPOS ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 50-54 ; -23.1967527051621 ; -45.8861703942916 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; SAO JOSE DOS CAMPOS ;2017; 2 ; MASCULINO ; MANHÇ ; OUTROS ; AUTOMOVEL ; 65-69 ; -23.2690502897908 ; -45.8259411927605 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; SAO JOSE DOS CAMPOS ;2017; 2 ; MASCULINO ; TARDE ; COLISAO ; AUTOMOVEL ; 35-39 ; -23.2571809086647 ; -45.801297939678 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sao Lourenco da Serra; Sao Lourenco da Serra ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; -23.8475079767715 ; -46.9377246289104 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -23.6521443419485 ; -46.7055172863436 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; MADRUGADA ; CHOQUE ; AUTOMOVEL ; 70-74 ; -23.650622 ; -46.760358 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; MADRUGADA ; COLISAO ; AUTOMOVEL ; 0-17 ; -23.601387 ; -46.526152 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; -23.612032 ; -46.463733 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -23.6388348451628 ; -46.7616129950571 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -23.469625 ; -46.686266 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; NÆo Dispon¡vel ; -23.4576861402026 ; -46.5712588470092 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; MANHÇ ; CHOQUE ; AUTOMOVEL ; 25-29 ; -23.569479 ; -46.71604 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 45-49 ; -23.7413319165157 ; -46.7058965488893 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; MANHÇ ; OUTROS ; AUTOMOVEL ; 30-34 ; -23.499749 ; -46.536467 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; MANHÇ ; OUTROS ; AUTOMOVEL ; 35-39 ; -23.499749 ; -46.536467 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; SAO PAULO ;2017; 2 ; FEMININO ; NÆo Dispon¡vel ; NAO DISPONIVEL ; NAO DISPONIVEL ; 25-29 ; -23.5732490051676 ; -46.7122859099771 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.677774049117 ; -46.6829804995726 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.4022876212735 ; -46.7479275507401 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; -23.517912 ; -46.455929 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; -23.51754 ; -46.680907 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -23.5918262115199 ; -46.5019300212 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -23.575589087 ; -46.6411989549999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -23.6145193105464 ; -46.5018387720005 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.628879113 ; -46.6413784879999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; NÆo Dispon¡vel ; -23.5605477521098 ; -46.6434380857472 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; NÆo Dispon¡vel ; -23.5391624242063 ; -46.4702087179636 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMOVEL ; 18-24 ; -23.4576861402026 ; -46.5712588470092 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMOVEL ; 40-44 ; -23.5013268026822 ; -46.3829086009782 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 18-24 ; -23.6325955473211 ; -46.7393032164978 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 55-59 ; -23.5951415946956 ; -46.4394618118695 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; AUTOMOVEL ; 0-17 ; -23.601387 ; -46.526152 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.626269 ; -46.619149 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; MOTOCICLETA ; 45-49 ; -23.481476 ; -46.716301 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; MOTOCICLETA ; 50-54 ; -23.551021 ; -46.724294 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; COLISAO ; MOTOCICLETA ; NÆo Dispon¡vel ; -23.490814 ; -46.574442 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 0-17 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; SAO PAULO ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -23.584988 ; -46.742269 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.543439244 ; -46.635822628 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -23.551173 ; -46.43657 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MANHÇ ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -23.552587 ; -46.503713 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MANHÇ ; CHOQUE ; MOTOCICLETA ; 18-24 ; -23.513219 ; -46.443761 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 18-24 ; -23.688180547166 ; -46.6445874681613 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; MANHÇ ; NAO DISPONIVEL ; BICICLETA ; 25-29 ; -23.631441 ; -46.748821 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAO PAULO; SAO PAULO ;2017; 2 ; MASCULINO ; NÆo Dispon¡vel ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.494136 ; -46.415527 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
