;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Munic¡pio Acidente ;Ano;Mˆs;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomo‡Æo da V¡tima;Faixa Et ria;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CACAPAVA; CACAPAVA ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; NÆo Dispon¡vel ; -23.1062205003214 ; -45.6970974133994 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAIEIRAS; CAIEIRAS ;2017; 2 ; MASCULINO ; MANHÇ ; COLISAO ; MOTOCICLETA ; 25-29 ; -23.3510996099999 ; -46.799691982 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAIEIRAS; CAIEIRAS ;2017; 2 ; MASCULINO ; MANHÇ ; OUTROS ; PEDESTRE ; 55-59 ; -23.353292000 ; -46.794812000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAIEIRAS; CAIEIRAS ;2017; 2 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMOVEL ; 40-44 ; -23.379124 ; -46.709407 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJATI; CAJATI ;2017; 2 ; MASCULINO ; MANHÇ ; NAO DISPONIVEL ; NAO DISPONIVEL ; 40-44 ; NÆo Dispon¡vel ; NÆo Dispon¡vel ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJATI; CAJATI ;2017; 2 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -24.738105 ; -48.122328 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJATI; CAJATI ;2017; 2 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 18-24 ; -24.723514 ; -48.145189 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 2 ; FEMININO ; NÆo Dispon¡vel ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -22.820342 ; -47.068068 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 2 ; FEMININO ; NOITE ; COLISAO ; MOTOCICLETA ; 30-34 ; -22.883086695 ; -47.115441749 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -22.9377416085493 ; -47.085188280948 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPINAS; CAMPINAS ;2017; 2 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; -22.911450110 ; -47.101403475 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
