;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 10 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -22.2706187294925 ; -49.0995551269085 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 10 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 18-24 ; -22.303227 ; -49.041736 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 10 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -22.391223867 ; -49.078874903 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2016; 10 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 25-29 ; -22.2866372647711 ; -49.0940972091816 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bertioga; Bertioga ;2016; 10 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 55-59 ; -23.835473 ; -46.137872 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birigui; Birigui ;2016; 10 ; MASCULINO ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; MOTOCICLETA ; 25-29 ; -21.282425 ; -50.307955  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biritiba Mirim; Biritiba Mirim ;2016; 10 ; FEMININO ; TARDE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -23.5677341478535 ; -46.057376277552 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biritiba Mirim; Biritiba Mirim ;2016; 10 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; -23.5691657945104 ; -46.0670218337727 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boituva; Boituva ;2016; 10 ; FEMININO ; MANHÃ ; CHOQUE ; AUTOMÓVEL ; 70-74 ; -23.2969896738021 ; -47.681751790952 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botucatu; Botucatu ;2016; 10 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -22.934908 ; -48.444424 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Braganca Paulista; Braganca Paulista ;2016; 10 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 25-29 ; -22.8804234700862 ; -46.6090375976062 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacapava; Cacapava ;2016; 10 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 35-39 ; -23.0752161135762 ; -45.6517265532637 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacapava; Cacapava ;2016; 10 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -23.101605 ; -45.690458 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caieiras; Caieiras ;2016; 10 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; AUTOMÓVEL ; 45-49 ; -23.3748753857646 ; -46.7487666733592 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cajati; Cajati ;2016; 10 ; MASCULINO ; NÃO DISPONÍVEL ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -24.7410178843453 ; -48.1270862083364 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; FEMININO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 35-39 ; -22.882058926 ; -47.0605845979999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -22.878631 ; -47.060240 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; FEMININO ; NOITE ; COLISÃO ; MOTOCICLETA ; 0-17 ; -22.976552 ; -47.137592 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 30-34 ; -22.771150760 ; -47.021962079 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -22.9742354627393 ; -47.1026984880321 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 35-39 ; -22.9742354627393 ; -47.1026984880321 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; MASCULINO ; MADRUGADA ; NÃO DISPONÍVEL ; AUTOMÓVEL ; 30-34 ; -22.933676 ; -47.091836 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 25-29 ; -22.850935852569 ; -47.1099768116073 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -22.887730246 ; -47.113253474 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -22.912511 ; -47.063414 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -22.906904124 ; -47.136765718 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 35-39 ; -22.890067825 ; -47.132940888 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 35-39 ; -22.890067825 ; -47.132940888 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 10 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 25-29 ; -22.937082664 ; -47.126637697 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campo Limpo Paulista; Campo Limpo Paulista ;2016; 10 ; FEMININO ; TARDE ; COLISÃO ; MOTOCICLETA ; 35-39 ; -23.2483267200187 ; -46.7902279773255 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campo Limpo Paulista; Campo Limpo Paulista ;2016; 10 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 30-34 ; -23.205118 ; -46.800139 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campo Limpo Paulista; Campo Limpo Paulista ;2016; 10 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -23.177146 ; -46.765043 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capao Bonito; Capao Bonito ;2016; 10 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 30-34 ; -24.0270626304568 ; -48.359492121046 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capivari; Capivari ;2016; 10 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -22.988418 ; -47.4816 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caraguatatuba; Caraguatatuba ;2016; 10 ; FEMININO ; NOITE ; ATROPELAMENTO ; AUTOMÓVEL ; 30-34 ; -23.5914212275539 ; -45.3364433596783 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caraguatatuba; Caraguatatuba ;2016; 10 ; MASCULINO ; NÃO DISPONÍVEL ; COLISÃO ; NÃO DISPONÍVEL ; 25-29 ; -23.5897528202406 ; -45.4477984287879 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 10 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 18-24 ; -23.566496 ; -46.850953 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 10 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 25-29 ; -23.566496 ; -46.850953 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 10 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -23.524357 ; -46.818433 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 10 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; -23.5369970152307 ; -46.8384792418461 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2016; 10 ; FEMININO ; NOITE ; CHOQUE ; AUTOMÓVEL ; 65-69 ; -21.147740000 ; -49.002720000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2016; 10 ; FEMININO ; NOITE ; OUTROS ; AUTOMÓVEL ; 45-49 ; -21.154404 ; -48.954500 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2016; 10 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 50-54 ; -21.090445 ; -48.963845 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2016; 10 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -21.086813 ; -48.962380 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2016; 10 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 50-54 ; -21.086813 ; -48.962380 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catigua; Catigua ;2016; 10 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 30-34 ; -21.0572593836666 ; -49.0626646586315 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cerquilho; Cerquilho ;2016; 10 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 35-39 ; -23.1699824387817 ; -47.7516746351289 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cordeiropolis; Cordeiropolis ;2016; 10 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 35-39 ; -22.8969804715727 ; -47.5076942518284 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cosmorama; Cosmorama ;2016; 10 ; MASCULINO ; TARDE ; OUTROS ; MOTOCICLETA ; 45-49 ; -20.403258 ; -49.735820 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotia; Cotia ;2016; 10 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 18-24 ; -23.607507 ; -46.945032 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotia; Cotia ;2016; 10 ; MASCULINO ; MADRUGADA ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 30-34 ; -23.603270745 ; -46.917905967 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cristais Paulista; Cristais Paulista ;2016; 10 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 55-59 ; -20.3812751697883 ; -47.4443246967616 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cubatao; Cubatao ;2016; 10 ; MASCULINO ; MADRUGADA ; COLISÃO ; CAMINHÃO ; 35-39 ; -23.8888142639179 ; -46.4866869468239 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diadema; Diadema ;2016; 10 ; FEMININO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 18-24 ; -23.6655136883376 ; -46.6211241581008 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diadema; Diadema ;2016; 10 ; FEMININO ; NOITE ; COLISÃO ; MOTOCICLETA ; 0-17 ; -23.708545 ; -46.611131 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diadema; Diadema ;2016; 10 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -23.685053922 ; -46.616604883 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dracena; Dracena ;2016; 10 ; FEMININO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 35-39 ; -21.5851413706113 ; -51.6808261001015 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dracena; Dracena ;2016; 10 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 45-49 ; -21.46494288979 ; -51.5505272220286 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eldorado; Eldorado ;2016; 10 ; FEMININO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 30-34 ; -24.5497958468248 ; -48.1081119650089 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embu das Artes; Embu das Artes ;2016; 10 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -23.662018541062 ; -46.8525164800997 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embu das Artes; Embu das Artes ;2016; 10 ; MASCULINO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 25-29 ; -23.662018541062 ; -46.8525164800997 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embu das Artes; Embu das Artes ;2016; 10 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 30-34 ; -23.6375499991935 ; -46.8321121254425 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embu das Artes; Embu das Artes ;2016; 10 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 35-39 ; -23.6375499991935 ; -46.8321121254425 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embu das Artes; Embu das Artes ;2016; 10 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 18-24 ; -23.628749 ; -46.879026 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embu-Guacu; Embu-Guacu ;2016; 10 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 18-24 ; -23.9199958347121 ; -46.8674059183588 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espirito Santo do Pinhal; Espirito Santo do Pinhal ;2016; 10 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 40-44 ; -22.199393 ; -46.708006 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fernando Prestes; Fernando Prestes ;2016; 10 ; MASCULINO ; NÃO DISPONÍVEL ; COLISÃO ; MOTOCICLETA ; 35-39 ; -21.347862 ; -48.726019 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flora Rica; Flora Rica ;2016; 10 ; FEMININO ; MANHÃ ; OUTROS ; AUTOMÓVEL ; 18-24 ; -21.7279778812445 ; -51.3786960336539 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flora Rica; Flora Rica ;2016; 10 ; FEMININO ; MANHÃ ; OUTROS ; AUTOMÓVEL ; 18-24 ; -21.7279778812445 ; -51.3786960336539 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franca; Franca ;2016; 10 ; MASCULINO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 40-44 ; -20.569596 ; -47.393142 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Francisco Morato; Francisco Morato ;2016; 10 ; MASCULINO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 18-24 ; -23.290424655 ; -46.734557292 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franco da Rocha; Franco da Rocha ;2016; 10 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.3335338416938 ; -46.7113699064484 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franco da Rocha; Franco da Rocha ;2016; 10 ; MASCULINO ; MANHÃ ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 18-24 ; -23.334035 ; -46.72801 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franco da Rocha; Franco da Rocha ;2016; 10 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -23.334035 ; -46.72801 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gaviao Peixoto; Gaviao Peixoto ;2016; 10 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMÓVEL ; 45-49 ; -21.815898 ; -48.412662 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gaviao Peixoto; Gaviao Peixoto ;2016; 10 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMÓVEL ; 45-49 ; -21.815898 ; -48.412662 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guapiara; Guapiara ;2016; 10 ; MASCULINO ; MADRUGADA ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 50-54 ; -24.2089295845187 ; -48.5681740186028 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaratingueta; Guaratingueta ;2016; 10 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 35-39 ; -22.804147 ; -45.229305 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
