;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANANEIA; CANANEIA ;2017; 3 ; MASCULINO ; MADRUGADA ; OUTROS ; AUTOMOVEL ; 35-39 ; -24.961036 ; -47.911167 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANAS; CANAS ;2017; 3 ; MASCULINO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 25-29 ; -22.7123571652597 ; -45.0517935424471 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANDIDO MOTA; CANDIDO MOTA ;2017; 3 ; FEMININO ; NOITE ; COLISAO ; AUTOMOVEL ; 45-49 ;-22.7140759701865 ;-50.3028250689433 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANDIDO MOTA; CANDIDO MOTA ;2017; 3 ; FEMININO ; NOITE ; COLISAO ; AUTOMOVEL ; 65-69 ;-22.7140759701865 ;-50.3028250689433 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANDIDO MOTA; CANDIDO MOTA ;2017; 3 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 50-54 ;-22.7140759701865 ;-50.3028250689433 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANDIDO MOTA; CANDIDO MOTA ;2017; 3 ; MASCULINO ; NOITE ; COLISAO ; AUTOMOVEL ; 65-69 ;-22.7140759701865 ;-50.3028250689433 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAPAO BONITO; CAPAO BONITO ;2017; 3 ; FEMININO ; NOITE ; COLISAO ; AUTOMOVEL ; 45-49 ; -23.964192853 ; -48.395735030 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAPAO BONITO; CAPAO BONITO ;2017; 3 ; FEMININO ; NOITE ; COLISAO ; AUTOMOVEL ; 70-74 ; -23.964192853 ; -48.395735030 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAPAO BONITO; CAPAO BONITO ;2017; 3 ; FEMININO ; TARDE ; NAO DISPONIVEL ; AUTOMOVEL ; 25-29 ; -24.0340654966553 ; -48.3487338526932 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAGUATATUBA; CARAGUATATUBA ;2017; 3 ; MASCULINO ; TARDE ; COLISAO ; BICICLETA ; 55-59 ; -23.711314 ; -45.442333 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAPICUIBA; CARAPICUIBA ;2017; 3 ; FEMININO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.552171 ; -46.825223 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
