;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2017; 1 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 18-24 ; -21.720623, -48.152574 ; -48.1525869279999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 25-29 ; -21.7746636963593 ; -48.1002101551147 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araras; Araras ;2017; 1 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -22.359910 ; -47.375346 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araras; Araras ;2017; 1 ; MASCULINO ; MADRUGADA ; OUTROS ; AUTOMÓVEL ; 25-29 ; -22.389900000 ; -47.393400000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araras; Araras ;2017; 1 ; MASCULINO ; TARDE ; OUTROS ; AUTOMÓVEL ; 30-34 ; -22.360371 ; -47.400529 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Artur Nogueira; Artur Nogueira ;2017; 1 ; MASCULINO ; NOITE ; COLISÃO ; BICICLETA ; 30-34 ; -22.5481678775796 ; -47.1709047091947 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assis; Assis ;2017; 1 ; MASCULINO ; Não Disponível ; OUTROS ; AUTOMÓVEL ; 60-64 ; -22.667334 ; -50.408913 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assis; Assis ;2017; 1 ; MASCULINO ; NOITE ; COLISÃO ; BICICLETA ; 65-69 ; -22.674715 ; -50.426909 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2017; 1 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -23.220667 ; -46.594557 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2017; 1 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; Não Disponível ; -23.2336858170813 ; -46.6021002328068 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2017; 1 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -23.0363195617878 ; -46.5525240998558 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2017; 1 ; MASCULINO ; TARDE ; OUTROS ; MOTOCICLETA ; 30-34 ; -23.0674481600303 ; -46.6438777706221 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bariri; Bariri ;2017; 1 ; FEMININO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 25-29 ; -22.1310595577394 ; -48.7395509831367 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barretos; Barretos ;2017; 1 ; FEMININO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 30-34 ; -20.556186 ; -48.569661 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2017; 1 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 30-34 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 35-39 ; -23.5095012505267 ; -46.8181609414955 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bastos; Bastos ;2017; 1 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -21.9113896948276 ; -50.7102729490001 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Batatais; Batatais ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 50-54 ; -20.837334915002 ; -47.6015241875066 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2017; 1 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -22.359650000 ; -49.038340000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2017; 1 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 30-34 ; -22.312283 ; -49.069696 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
