MunAcidente,Ano,Mes,Sexo,Periodo,TipAcidente,Modal,FaixaEt,Latitude,Longitude
Araraquara,2016.0,11.0,Masculino,Madrugada,Colisao,Automovel,18-24,-48.158465311,-48.158465311
Araraquara,2016.0,9.0,Masculino,Manha,ND,ND,30-34,-48.179248,-48.179248
Araraquara,2016.0,9.0,Masculino,ND,Atropelamento,Pedestre,80 Ou Mais,-48.172408000000004,-48.172408000000004
Araraquara,2016.0,10.0,Masculino,Noite,Atropelamento,Pedestre,35-39,-48.193248,-48.193248
Araraquara,2017.0,1.0,Masculino,Tarde,Choque,Motocicleta,18-24,-48.1525869279999,-48.1525869279999
Araraquara,2016.0,10.0,Feminino,Tarde,Atropelamento,Pedestre,70-74,-48.178988000000004,-48.178988000000004
Araraquara,2016.0,8.0,Feminino,ND,Colisao,Automovel,80 Ou Mais,-48.238784,-48.238784
Araraquara,2017.0,2.0,Masculino,Tarde,Choque,Bicicleta,25-29,-48.187576,-48.187576
Araraquara,2016.0,12.0,Feminino,Tarde,NE,NE,30-34,-48.31452,-48.31452
Araraquara,2016.0,8.0,Masculino,ND,Colisao,Automovel,18-24,-48.238784,-48.238784
Araraquara,2016.0,12.0,Masculino,Manha,Outros,Motocicleta,45-49,-48.172876,-48.172876
Araraquara,2016.0,12.0,Masculino,Noite,Colisao,Bicicleta,35-39,-48.112262,-48.112262
Araraquara,2017.0,2.0,Feminino,Noite,Colisao,Bicicleta,35-39,,
Araraquara,2016.0,8.0,Masculino,Madrugada,Atropelamento,Pedestre,18-24,-48.13065,-48.13065
Araraquara,2016.0,8.0,Masculino,Madrugada,Atropelamento,Pedestre,18-24,-48.195739,-48.195739
Araraquara,2016.0,8.0,Feminino,ND,Colisao,Automovel,50-54,-48.238784,-48.238784
Araraquara,2017.0,2.0,Masculino,Noite,Colisao,Automovel,45-49,-48.0743247149969,-48.0743247149969
Araraquara,2017.0,2.0,Masculino,Noite,Colisao,Automovel,45-49,-48.0743247149969,-48.0743247149969
Araraquara,2017.0,4.0,Feminino,Manha,Colisao,Motocicleta,50-54,-48.173521,-48.173521
Araraquara,2016.0,12.0,Masculino,Tarde,Choque,Caminhao,60-64,-48.1379952706166,-48.1379952706166
Araraquara,2016.0,10.0,Feminino,Noite,Atropelamento,Pedestre,60-64,-48.175543,-48.175543
Araraquara,2016.0,10.0,Feminino,Madrugada,Choque,Motocicleta,18-24,-48.18414,-48.18414
Araraquara,2016.0,10.0,Feminino,Madrugada,Choque,Motocicleta,18-24,-48.1838,-48.1838
Araras,2016.0,8.0,Masculino,Tarde,Choque,Motocicleta,18-24,-47.3934,-47.3934
Araras,2016.0,11.0,Masculino,Madrugada,Colisao,Automovel,0-17,-47.39,-47.39
Araras,2017.0,4.0,Masculino,Noite,Choque,Automovel,50-54,-47.378717,-47.378717
Araras,2017.0,3.0,Feminino,Manha,Outros,Bicicleta,60-64,,
Araras,2017.0,3.0,Masculino,Madrugada,Outros,Motocicleta,40-44,-47.393281,-47.393281
Araras,2017.0,3.0,Masculino,Tarde,Choque,Motocicleta,18-24,-47.324731,-47.324731
Araras,2017.0,4.0,Masculino,Madrugada,Colisao,Bicicleta,ND,-47.3947423774558,-47.3947423774558
Araras,2016.0,8.0,Masculino,Tarde,Colisao,Motocicleta,25-29,-47.4168710353564,-47.4168710353564
Araras,2016.0,9.0,Masculino,Noite,Choque,Motocicleta,18-24,-47.358481,-47.358481
Araras,2017.0,1.0,Feminino,Manha,Atropelamento,Pedestre,65-69,-47.375346,-47.375346
Araras,2016.0,8.0,Masculino,Noite,Colisao,Motocicleta,50-54,-47.3920705548702,-47.3920705548702
