;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birigui; Birigui ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 30-34 ; -21.284355 ; -50.370279 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birigui; Birigui ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 35-39 ; -21.3969336 ; -50.3502651 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botucatu; Botucatu ;2016; 8 ; MASCULINO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 40-44 ; -22.874059 ; -48.476949 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Braganca Paulista; Braganca Paulista ;2016; 8 ; MASCULINO ; NOITE ; CHOQUE ; AUTOMÓVEL ; 55-59 ; -22.925323 ; -46.536883 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Braganca Paulista; Braganca Paulista ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 40-44 ; -22.9406265315288 ; -46.4739259825774 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Braganca Paulista; Braganca Paulista ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -22.950810 ; -46.599269 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brotas; Brotas ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 35-39 ; -22.24876 ; -48.2896 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buritama; Buritama ;2016; 8 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -21.066844 ; -50.138633 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caieiras; Caieiras ;2016; 8 ; FEMININO ; MANHÃ ; CHOQUE ; AUTOMÓVEL ; 50-54 ; -23.349081338 ; -46.7551452399999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cajati; Cajati ;2016; 8 ; MASCULINO ; MADRUGADA ; CHOQUE ; CAMINHÃO ; 30-34 ; -24.864037 ; -48.212859 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cajati; Cajati ;2016; 8 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; -24.773694624262 ; -48.1707896670737 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJURU; CAJURU ;2016; 8 ; MASCULINO ; NOITE ; OUTROS ; AUTOMÓVEL ; 55-59 ; -21.423973 ; -47.325645 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 8 ; FEMININO ; MADRUGADA ; CHOQUE ; AUTOMÓVEL ; 25-29 ; -22.822512 ; -47.096933 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 8 ; FEMININO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -22.900797 ; -47.058179 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 8 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -22.843965443 ; -47.038250373 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 8 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -22.899899670259 ; -47.101244754075 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 8 ; MASCULINO ; NÃO DISPONÍVEL ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -22.8955869353107 ; -47.007399907432 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 8 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -22.966363 ; -47.131107 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 8 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -22.854731334 ; -47.152051027 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.84909 ; -47.037925 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 25-29 ; -22.873948098 ; -47.069856495 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 8 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; MOTOCICLETA ; 40-44 ; -22.962253 ; -47.130113 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 8 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 50-54 ; -22.856805 ; -47.148633 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 8 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMÓVEL ; 50-54 ; -22.7963622942128 ; -47.0321516364052 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campo Limpo Paulista; Campo Limpo Paulista ;2016; 8 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 35-39 ; -23.236402326 ; -46.764726315 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Candido Mota; Candido Mota ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; OUTROS ; 80 ou mais ; -22.718100143 ; -50.395741006 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capivari; Capivari ;2016; 8 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -22.995625 ; -47.472076 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caraguatatuba; Caraguatatuba ;2016; 8 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -23.6631646872623 ; -45.4353528588852 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casa Branca; Casa Branca ;2016; 8 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -21.801505 ; -47.059214 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2016; 8 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; AUTOMÓVEL ; 18-24 ; -21.144132 ; -48.928916 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2016; 8 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; AUTOMÓVEL ; 35-39 ; -21.144132 ; -48.928916 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2016; 8 ; MASCULINO ; MADRUGADA ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 60-64 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2016; 8 ; MASCULINO ; TARDE ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 18-24 ; -21.14884933 ; -48.980456553 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cesario Lange; Cesario Lange ;2016; 8 ; FEMININO ; TARDE ; ATROPELAMENTO ; AUTOMÓVEL ; 25-29 ; -23.258432 ; -47.874035 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cesario Lange; Cesario Lange ;2016; 8 ; MASCULINO ; TARDE ; ATROPELAMENTO ; AUTOMÓVEL ; 18-24 ; -23.258432 ; -47.874035 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cordeiropolis; Cordeiropolis ;2016; 8 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; MOTOCICLETA ; 18-24 ; -22.4948083285358 ; -47.4246010767332 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotia; Cotia ;2016; 8 ; MASCULINO ; MADRUGADA ; OUTROS ; CAMINHÃO ; 65-69 ; -23.590705 ; -46.822953 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotia; Cotia ;2016; 8 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -23.6548212102581 ; -47.0749959760439 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cubatao; Cubatao ;2016; 8 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -23.877995 ; -46.447291 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cubatao; Cubatao ;2016; 8 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; MOTOCICLETA ; 45-49 ; -23.887482 ; -46.423862 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cunha; Cunha ;2016; 8 ; MASCULINO ; MADRUGADA ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 25-29 ; -23.166304 ; -44.839784 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diadema; Diadema ;2016; 8 ; MASCULINO ; TARDE ; COLISÃO ; BICICLETA ; Não Disponível ; -23.682685 ; -46.635858 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dracena; Dracena ;2016; 8 ; FEMININO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 45-49 ; -21.485369 ; -51.546823 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duartina; Duartina ;2016; 8 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 70-74 ; -22.414207 ; -49.409624 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Echapora; Echapora ;2016; 8 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 35-39 ; -22.350005 ; -50.155701 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embu-Guacu; Embu-Guacu ;2016; 8 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; -23.8525463046889 ; -46.8227688266692 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espirito Santo do Pinhal; Espirito Santo do Pinhal ;2016; 8 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -22.191046 ; -46.768908 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fartura; Fartura ;2016; 8 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 45-49 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferraz de Vasconcelos; Ferraz de Vasconcelos ;2016; 8 ; MASCULINO ; MADRUGADA ; NÃO DISPONÍVEL ; AUTOMÓVEL ; 25-29 ; -23.561592 ; -46.382400 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
