;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cajamar; Cajamar ;2016; 9 ; MASCULINO ; MANHÃ ; OUTROS ; MOTOCICLETA ; 50-54 ; -23.302329760 ; -46.856716275 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJURU; CAJURU ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -21.3710819876555 ; -47.229717934567 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -22.854032 ; -47.028969 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; FEMININO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.936938 ; -47.160317 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; FEMININO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -22.930622 ; -47.036964 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; FEMININO ; NOITE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -22.938643 ; -47.155369 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; -22.975923 ; -47.140632 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; MASCULINO ; MANHÃ ; COLISÃO ; AUTOMÓVEL ; 60-64 ; -22.964643 ; -47.134144 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 45-49 ; -23.023653 ; -47.121465 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 35-39 ; -22.9838730460504 ; -47.1055609610209 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 40-44 ; -22.791180256 ; -47.0746592149999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; MOTOCICLETA ; 30-34 ; -22.936003828 ; -47.187390169 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -22.937082664 ; -47.126637697 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; MASCULINO ; TARDE ; CHOQUE ; AUTOMÓVEL ; 50-54 ; -22.890136 ; -46.985634 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2016; 9 ; MASCULINO ; TARDE ; OUTROS ; ONIBUS ; 80 ou mais ; -22.962613 ; -47.135338 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campo Limpo Paulista; Campo Limpo Paulista ;2016; 9 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 40-44 ; -23.210376 ; -46.758335 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Candido Mota; Candido Mota ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 75-79 ; -22.754948 ; -50.397359 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Candido Rodrigues; Candido Rodrigues ;2016; 9 ; MASCULINO ; TARDE ; OUTROS ; MOTOCICLETA ; 45-49 ; -21.40218 ; -48.49760 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capivari; Capivari ;2016; 9 ; MASCULINO ; NOITE ; OUTROS ; AUTOMÓVEL ; 45-49 ; -22.972631,  ; -47.494333 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capivari; Capivari ;2016; 9 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -22.982593541 ; -47.468325640 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caraguatatuba; Caraguatatuba ;2016; 9 ; MASCULINO ; NÃO DISPONÍVEL ; OUTROS ; BICICLETA ; 35-39 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 9 ; MASCULINO ; MADRUGADA ; OUTROS ; MOTOCICLETA ; 18-24 ; -23.523011 ; -46.825368 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -23.523962 ; -46.841124 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carapicuiba; Carapicuiba ;2016; 9 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.549231 ; -46.839499 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cerquilho; Cerquilho ;2016; 9 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 18-24 ; -23.1981076579703 ; -47.7744286914345 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cesario Lange; Cesario Lange ;2016; 9 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; MOTOCICLETA ; 40-44 ; -23.215574 ; -47.925415 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charqueada; Charqueada ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; CAMINHÃO ; 60-64 ; -22.4946584385621 ; -47.7548146755204 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Conchas; Conchas ;2016; 9 ; FEMININO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 80 ou mais ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cordeiropolis; Cordeiropolis ;2016; 9 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -22.5002892678463 ; -47.4062195699606 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coroados; Coroados ;2016; 9 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 25-29 ; -21.4748558026295 ; -50.4307695683853 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cosmopolis; Cosmopolis ;2016; 9 ; MASCULINO ; TARDE ; OUTROS ; AUTOMÓVEL ; 18-24 ; -22.695266 ; -47.219846 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotia; Cotia ;2016; 9 ; MASCULINO ; MANHÃ ; CHOQUE ; MOTOCICLETA ; 40-44 ; -23.6039876534677 ; -46.8134534011313 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotia; Cotia ;2016; 9 ; MASCULINO ; NÃO DISPONÍVEL ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.700709 ; -46.848061 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cunha; Cunha ;2016; 9 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.000002 ; -45.042794 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diadema; Diadema ;2016; 9 ; MASCULINO ; MANHÃ ; COLISÃO ; BICICLETA ; 40-44 ; -23.715521 ; -46.604849 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duartina; Duartina ;2016; 9 ; MASCULINO ; TARDE ; OUTROS ; AUTOMÓVEL ; 70-74 ; -22.4170491683008 ; -49.4208805290604 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embu das Artes; Embu das Artes ;2016; 9 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -23.6237307640868 ; -46.8150767648143 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estiva Gerbi; Estiva Gerbi ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; BICICLETA ; Não Disponível ; -22.288796355 ; -46.962861003 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferraz de Vasconcelos; Ferraz de Vasconcelos ;2016; 9 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 55-59 ; -23.549013 ; -46.378309 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franca; Franca ;2016; 9 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -20.532402 ; -47.397475 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gaviao Peixoto; Gaviao Peixoto ;2016; 9 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 25-29 ; -21.829479 ; -48.510803 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaimbe; Guaimbe ;2016; 9 ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; COLISÃO ; AUTOMÓVEL ; 55-59 ; -21.884985 ; -49.850947 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaira; Guaira ;2016; 9 ; FEMININO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 45-49 ; -20.292085101017 ; -48.2289412866824 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaira; Guaira ;2016; 9 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 35-39 ; -20.292085101017 ; -48.2289412866824 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaira; Guaira ;2016; 9 ; MASCULINO ; MADRUGADA ; COLISÃO ; AUTOMÓVEL ; 45-49 ; -20.292085101017 ; -48.2289412866824 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guapiacu; Guapiacu ;2016; 9 ; MASCULINO ; MANHÃ ; COLISÃO ; BICICLETA ; 65-69 ; -20.811454 ;  -49.228392 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guapiacu; Guapiacu ;2016; 9 ; MASCULINO ; NOITE ; OUTROS ; MOTOCICLETA ; 40-44 ; -20.800633 ; -49.227725 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guarani d'Oeste; Guarani d'Oeste ;2016; 9 ; MASCULINO ; NÃO DISPONÍVEL ; CHOQUE ; MOTOCICLETA ; 30-34 ; -20.0560005585168 ; -50.3508865085623 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guararema; Guararema ;2016; 9 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -23.331346 ; -46.112662 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaratingueta; Guaratingueta ;2016; 9 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 40-44 ; -22.820609 ; -45.201008 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
