;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bebedouro; Bebedouro ;2016; 12 ; MASCULINO ; MANHÃ ; CHOQUE ; AUTOMÓVEL ; 55-59 ; -20.958905 ; -48.486863 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bebedouro; Bebedouro ;2016; 12 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 45-49 ; -20.951123764007 ; -48.499016644933 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bebedouro; Bebedouro ;2016; 12 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 25-29 ; -20.96353141468 ; -48.46501149456 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bertioga; Bertioga ;2016; 12 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -23.7585360456382 ; -45.8715720095901 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birigui; Birigui ;2016; 12 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -21.296611 ; -50.323037 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birigui; Birigui ;2016; 12 ; FEMININO ; TARDE ; COLISÃO ; MOTOCICLETA ; 50-54 ; -21.251856 ; -50.314779 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birigui; Birigui ;2016; 12 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 30-34 ; -21.265764 ; -50.327105 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biritiba Mirim; Biritiba Mirim ;2016; 12 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -23.5663280700162 ; -46.0235001789172 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bocaina; Bocaina ;2016; 12 ; FEMININO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 35-39 ; -22.0918145083761 ; -48.4495466659402 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bocaina; Bocaina ;2016; 12 ; MASCULINO ; MANHÃ ; OUTROS ; MOTOCICLETA ; 18-24 ; -22.155580 ; -48.542962 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borborema; Borborema ;2016; 12 ; FEMININO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 60-64 ; -21.6094177164703 ; -49.1407380269943 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borborema; Borborema ;2016; 12 ; MASCULINO ; NOITE ; NÃO ESPECIFICADO ; NÃO ESPECIFICADO ; 60-64 ; -21.6094177164703 ; -49.1407380269943 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botucatu; Botucatu ;2016; 12 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 30-34 ; -22.940214 ; -48.441162 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botucatu; Botucatu ;2016; 12 ; MASCULINO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 60-64 ; -22.872760 ; -48.433216 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botucatu; Botucatu ;2016; 12 ; MASCULINO ; TARDE ; NÃO ESPECIFICADO ; NÃO ESPECIFICADO ; 30-34 ; -23.1443960187186 ; -48.4126790450371 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
