,  Município Acidente ,Ano,Mês,Sexo,Turno Acidente,Tipo de Acidente,Meio de Locomoção da Vítima,Faixa Etária,Latitude Acidente,Longitude Acidente
167, Jaguariuna ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , MOTOCICLETA , 18-24 , -22.7037108455499 , -47.0130388771739 
168, Jaguariuna ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , MOTOCICLETA , 18-24 , -22.7037108455499 , -47.0130388771739 
169, Jandira ,2016.0,8.0, MASCULINO , MANHÃ , COLISÃO , MOTOCICLETA , 35-39 , -23.520723 , -46.909502 
170, Jandira ,2016.0,8.0, MASCULINO , TARDE , ATROPELAMENTO , PEDESTRE , 70-74 , -23.547102 , -46.909085 
171, Jau ,2016.0,8.0, FEMININO , MADRUGADA , CHOQUE , MOTOCICLETA , 40-44 , -22.269626 , -48.556104 
172, Jau ,2016.0,8.0, MASCULINO , MADRUGADA , CHOQUE , AUTOMÓVEL , 18-24 , -22.262942 , -48.557436 
173, Jau ,2016.0,8.0, MASCULINO , MADRUGADA , CHOQUE , MOTOCICLETA , 35-39 , -22.269626 , -48.556104 
174, Jau ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , BICICLETA , 18-24 , -22.290778 , -48.570675 
175, Jau ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , MOTOCICLETA , 18-24 , -22.275866 , -48.553911 
176, Jau ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , MOTOCICLETA , 50-54 , -22.279617 , -48.553481 
177, Jose Bonifacio ,2016.0,8.0, FEMININO , TARDE , ATROPELAMENTO , PEDESTRE , 60-64 , -21.047901 , -49.692046 
178, Jundiai ,2016.0,8.0, MASCULINO , MADRUGADA , COLISÃO , CAMINHÃO , 50-54 , -23.1680580889999 , -46.927927874 
179, Jundiai ,2016.0,8.0, MASCULINO , MANHÃ , ATROPELAMENTO , PEDESTRE , 60-64 , -23.199681 , -46.875748 
180, Jundiai ,2016.0,8.0, MASCULINO , NOITE , CHOQUE , AUTOMÓVEL , 55-59 , -23.232482 , -46.894576 
181, Jundiai ,2016.0,8.0, MASCULINO , NOITE , OUTROS , BICICLETA , 65-69 , -23.1431814354311 , -46.9930722770685 
182, Jundiai ,2016.0,8.0, MASCULINO , NOITE , OUTROS , MOTOCICLETA , 0-17 , -23.1273 , -46.925762 
183, Juquitiba ,2016.0,8.0, FEMININO , MANHÃ , OUTROS , MOTOCICLETA , 35-39 , -23.9405469192922 , -47.0905715399416 
184, Juquitiba ,2016.0,8.0, MASCULINO , NOITE , ATROPELAMENTO , PEDESTRE , 60-64 , -23.9456665118288 , -47.0980713874449 
185, Lavinia ,2016.0,8.0, MASCULINO , MADRUGADA , COLISÃO , CAMINHÃO , 35-39 , -21.1103508794501 , -51.0244565890717 
186, Leme ,2016.0,8.0, MASCULINO , NÃO DISPONÍVEL , CHOQUE , AUTOMÓVEL , 40-44 , -22.097453 , -47.259216 
187, Leme ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , AUTOMÓVEL , 50-54 , -22.198565 , -47.382974 
188, Leme ,2016.0,8.0, MASCULINO , TARDE , CHOQUE , CAMINHÃO , 25-29 , -22.175100 , -47.398738 
189, Limeira ,2016.0,8.0, MASCULINO , MADRUGADA , OUTROS , AUTOMÓVEL , 40-44 , -22.644862 , -47.326914 
190, Limeira ,2016.0,8.0, MASCULINO , NÃO DISPONÍVEL , ATROPELAMENTO , PEDESTRE , 40-44 , Não Disponível , Não Disponível 
191, Limeira ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , MOTOCICLETA , 25-29 , -22.6701398659179 , -47.3137056797147 
192, Lindoia ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , MOTOCICLETA , 18-24 , -22.543443 , -46.626747 
193, Lorena ,2016.0,8.0, MASCULINO , NÃO DISPONÍVEL , NÃO DISPONÍVEL , NÃO DISPONÍVEL , Não Disponível , -22.711571 , -45.111990 
194, Macatuba ,2016.0,8.0, MASCULINO , TARDE , CHOQUE , AUTOMÓVEL , 18-24 , -22.500900 , -48.726787 
195, Mairinque ,2016.0,8.0, MASCULINO , MADRUGADA , ATROPELAMENTO , PEDESTRE , 45-49 , -23.478900 , -47.203265 
196, Mairipora ,2016.0,8.0, FEMININO , TARDE , COLISÃO , MOTOCICLETA , 25-29 , -23.2741597133279 , -46.5851866742 
197, Mairipora ,2016.0,8.0, MASCULINO , MADRUGADA , ATROPELAMENTO , PEDESTRE , Não Disponível , -23.266011 , -46.583960 
198, Marapoama ,2016.0,8.0, MASCULINO , MADRUGADA , COLISÃO , MOTOCICLETA , 55-59 , -21.293792 , -49.084365 
199, Marilia ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , MOTOCICLETA , 30-34 , -22.231260 , -49.918212 
200, Marilia ,2016.0,8.0, MASCULINO , TARDE , NÃO DISPONÍVEL , MOTOCICLETA , 40-44 , Não Disponível , Não Disponível 
201, Martinopolis ,2016.0,8.0, MASCULINO , MADRUGADA , CHOQUE , AUTOMÓVEL , 30-34 , -22.176131 , -51.182764 
202, Maua ,2016.0,8.0, MASCULINO , MANHÃ , COLISÃO , CAMINHÃO , 60-64 , Não Disponível , Não Disponível 
203, Maua ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , MOTOCICLETA , 18-24 , -23.638582 , -46.453625 
204, Mendonca ,2016.0,8.0, FEMININO , NOITE , COLISÃO , AUTOMÓVEL , 0-17 , -21.143550 , -49.630397 
205, Mendonca ,2016.0,8.0, FEMININO , NOITE , COLISÃO , AUTOMÓVEL , 18-24 , -21.143550 , -49.630397 
206, Mendonca ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , AUTOMÓVEL , 25-29 , -21.143550 , -49.630397 
207, Miracatu ,2016.0,8.0, MASCULINO , NOITE , ATROPELAMENTO , PEDESTRE , 70-74 , -24.222994 , -47.364706 
208, Miracatu ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , MOTOCICLETA , 50-54 , -24.2451186745782 , -47.3670865911138 
209, Miracatu ,2016.0,8.0, MASCULINO , TARDE , ATROPELAMENTO , PEDESTRE , 50-54 , Não Disponível , Não Disponível 
210, Mirante do Paranapanema ,2016.0,8.0, MASCULINO , MANHÃ , CHOQUE , AUTOMÓVEL , 50-54 , -22.471120 , -52.133050 
211, Mirante do Paranapanema ,2016.0,8.0, MASCULINO , TARDE , CHOQUE , AUTOMÓVEL , 25-29 , -22.454907 , -52.124535 
212, Mirassol ,2016.0,8.0, MASCULINO , MANHÃ , ATROPELAMENTO , PEDESTRE , 75-79 , -20.811785 , -49.513684 
213, Mogi das Cruzes ,2016.0,8.0, MASCULINO , MADRUGADA , CHOQUE , AUTOMÓVEL , 25-29 , -23.387643 , -46.160779 
214, Mogi das Cruzes ,2016.0,8.0, MASCULINO , MADRUGADA , OUTROS , AUTOMÓVEL , 18-24 , -23.387643 , -46.160779 
215, Mogi das Cruzes ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , AUTOMÓVEL , 65-69 , -23.6215149363023 , -46.2579454379511 
216, Mogi das Cruzes ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , MOTOCICLETA , 45-49 , -23.6152877298518 , -46.1431737186238 
217, Mogi Guacu ,2016.0,8.0, FEMININO , NOITE , OUTROS , AUTOMÓVEL , 55-59 , -22.2021600363836 , -46.9834563849674 
218, Mogi Guacu ,2016.0,8.0, MASCULINO , NOITE , ATROPELAMENTO , PEDESTRE , 18-24 , -22.148899 , -46.995099 
219, Mogi Guacu ,2016.0,8.0, MASCULINO , NOITE , COLISÃO , AUTOMÓVEL , 35-39 , -22.358856078 , -46.968073483 
220, Mogi Guacu ,2016.0,8.0, MASCULINO , TARDE , COLISÃO , MOTOCICLETA , 40-44 , -22.371489 , -46.940986 
221, Mogi Mirim ,2016.0,8.0, MASCULINO , MANHÃ , CHOQUE , MOTOCICLETA , 35-39 , Não Disponível , Não Disponível 
222, Monte Aprazivel ,2016.0,8.0, MASCULINO , MADRUGADA , COLISÃO , AUTOMÓVEL , 45-49 , -20.833929412 , -49.764703569 
223, Nazare Paulista ,2016.0,8.0, MASCULINO , TARDE , ATROPELAMENTO , PEDESTRE , 80 ou mais , -23.168715 , -46.393637 
224, Nipoa ,2016.0,8.0, MASCULINO , MANHÃ , COLISÃO , AUTOMÓVEL , 25-29 , -20.955862 , -49.766685 
225, Nova Alianca ,2016.0,8.0, MASCULINO , MADRUGADA , COLISÃO , AUTOMÓVEL , 55-59 , -21.032186 , -49.507769 
226, Nova Odessa ,2016.0,8.0, FEMININO , NOITE , ATROPELAMENTO , PEDESTRE , Não Disponível , -22.78318009 , -47.23063767 
