;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MAR / 2017;TOTAL;SEXO DA VÍTIMA;;;FAIXA ETÁRIA DA VÍTIMA;;;;;;;;;;;;;;;MEIO DE LOCOMOÇÃO DA VÍTIMA;;;;;;;;TIPO DE ACIDENTE;;;;; INFORMAÇÕES DO MUNICÍPIO ;;;
;  Município Acidente ;Óbitos;FEMININO;MASCULINO;Nao Disponivel;0-17;18-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80 ou mais;Nao Disponivel;AUTOMOVEL;BICICLETA;CAMINHAO;MOTOCICLETA;ONIBUS;PEDESTRE;OUTROS;Nao Disponivel;ATROPELAMENTO;CHOQUE;COLISAO;OUTROS;Nao Disponivel;  População  ;  Região Administrativa ;;
Suzano; Suzano ;4; -   ; 4 ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 2 ; -   ; 282,428 ;  Metropolitana de São Paulo  ;;
Taboao da Serra; Taboao da Serra ;1; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 272,130 ;  Metropolitana de São Paulo  ;;
Sumare; Sumare ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 271,202 ;  Campinas  ;;
Embu das Artes; Embu das Artes ;2; -   ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; 261,836 ;  Metropolitana de São Paulo  ;;
Barueri; Barueri ;4; 1 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; 3 ; 1 ; -   ; -   ; -   ; 257,525 ;  Metropolitana de São Paulo  ;;
Sao Carlos; Sao Carlos ;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 236,958 ;  Central  ;;
Cotia; Cotia ;4; 1 ; 3 ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; 1 ; 1 ; 1 ; -   ; 1 ; 233,703 ;  Metropolitana de São Paulo  ;;
Indaiatuba; Indaiatuba ;4; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; 1 ; -   ; -   ; 1 ; -   ; 3 ; -   ; -   ; 232,586 ;  Campinas  ;;
Marilia; Marilia ;2; -   ; 2 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 227,380 ;  Marília  ;;
Americana; Americana ;3; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; 2 ; -   ; -   ; 227,223 ;  Campinas  ;;
